15:46:26.322 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Starting LyonjohnblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 22328 (/Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog)
15:46:26.324 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - No active profile set, falling back to 1 default profile: "default"
15:46:27.593 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
15:46:27.602 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
15:46:27.603 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
15:46:27.603 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
15:46:27.686 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15:46:27.688 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1315 ms
15:46:27.880 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Posts"
15:46:28.005 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.PostsPage"
15:46:28.395 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
15:46:28.407 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
15:46:28.422 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Started LyonjohnblogApplication in 2.564 seconds (JVM running for 3.352)
15:46:53.690 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:46:53.690 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
15:46:53.691 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
15:46:53.997 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
15:46:54.301 [http-nio-8081-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
15:48:33.702 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
15:48:33.711 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
15:48:38.225 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Starting LyonjohnblogApplication using Java 20.0.1 on liangzhanbodeMacBook-Pro.local with PID 22649 (/Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog/target/classes started by liangzhanbo in /Users/liangzhanbo/Desktop/lyonjohn-blog-server/lyonjohnblog)
15:48:38.227 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - No active profile set, falling back to 1 default profile: "default"
15:48:39.439 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8081 (http)
15:48:39.446 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
15:48:39.446 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
15:48:39.447 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.63]
15:48:39.521 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
15:48:39.523 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1227 ms
15:48:39.705 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.Posts"
15:48:39.812 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - This primary key of "id" is primitive !不建议如此请使用包装类 in Class: "com.lyonjohn.blog.pojo.PostsPage"
15:48:40.172 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8081"]
15:48:40.202 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8081 (http) with context path ''
15:48:40.219 [main] INFO  com.lyonjohn.blog.LyonjohnblogApplication - Started LyonjohnblogApplication in 2.43 seconds (JVM running for 3.22)
15:49:48.596 [http-nio-8081-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:49:48.596 [http-nio-8081-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
